year,num_lyndon,num_born_that_year,proportion
1910,0,516313,0
1911,0,565817,0
1912,0,888002,0
1913,0,1028578,0
1914,0,1293348,0
1915,5,1690006,2.9585693778601968e-06
1916,0,1786516,0
1917,5,1855682,2.6944271701724755e-06
1918,0,2013330,0
1919,5,1954825,2.5577737137595439e-06
1920,7,2101081,3.3316183431290846e-06
1921,5,2170965,2.3031232654602909e-06
1922,0,2127273,0
1923,0,2141732,0
1924,7,2218857,3.154777437212042e-06
1925,12,2172448,5.523722547098941e-06
1926,0,2137429,0
1927,5,2160573,2.3142009087404128e-06
1928,0,2105772,0
1929,0,2040990,0
1930,11,2071249,5.3108052194593693e-06
1931,0,1959453,0
1932,0,1964861,0
1933,0,1858101,0
1934,0,1933793,0
1935,10,1947346,5.1351942592636339e-06
1936,10,1936572,5.1637635987714377e-06
1937,5,1987098,2.5162322140125953e-06
1938,0,2068680,0
1939,12,2060162,5.8247846528573967e-06
1940,13,2157903,6.024367174984232e-06
1941,53,2288584,2.3158424597917316e-05
1942,39,2576905,1.5134434525137713e-05
1943,44,2665354,1.6508126125085072e-05
1944,30,2537421,1.1823028184916889e-05
1945,16,2502066,6.3947154071875005e-06
1946,30,3032671,9.8922698835449e-06
1947,25,3427809,7.2932885116994557e-06
1948,23,3280498,7.0111306271182e-06
1949,37,3312498,1.1169818064795813e-05
1950,30,3330334,9.0081054933228912e-06
1951,22,3506997,6.27317331608781e-06
1952,19,3616595,5.25356032400642e-06
1953,24,3669479,6.54043802948593e-06
1954,20,3792796,5.2731546858834482e-06
1955,41,3823251,1.0723857784906092e-05
1956,88,3926825,2.2409962246853373e-05
1957,99,4003192,2.4730265248331832e-05
1958,105,3933798,2.6691762007098482e-05
1959,120,3955061,3.0340872112971203e-05
1960,200,3947657,5.0662962866328055e-05
1961,143,3930597,3.6381241831711567e-05
1962,82,3825785,2.1433509724148116e-05
1963,127,3747748,3.3887016949912322e-05
1964,466,3674740,0.00012681169280003485
1965,259,3419530,7.5741403058315028e-05
1966,114,3267847,3.4885354179678548e-05
1967,32,3184310,1.0049272840898029e-05
1968,34,3159689,1.0760552699965092e-05
1969,42,3244912,1.294334022001213e-05
1970,23,3359449,6.8463608169077724e-06
1971,0,3177630,0
1972,5,2890095,1.7300469361733783e-06
1973,23,2759369,8.3352389622410054e-06
1974,13,2773958,4.6864444234555822e-06
1975,6,2744584,2.1861236529834759e-06
1976,22,2753960,7.9884965649464768e-06
1977,23,2882873,7.9781523501035246e-06
1978,0,2877643,0
1979,5,3019120,1.6561117146718249e-06
1980,18,3130961,5.749033603420803e-06
1981,23,3146595,7.3094885105963748e-06
1982,29,3193594,9.0806783830380438e-06
1983,40,3154303,1.2681089926998136e-05
1984,15,3177582,4.7205705470385969e-06
1985,26,3246990,8.0074160992180456e-06
1986,51,3229013,1.5794299991978973e-05
1987,47,3267158,1.4385591391662111e-05
1988,37,3342082,1.1070943202470795e-05
1989,69,3475994,1.9850437026070817e-05
1990,40,3567577,1.1212091568030628e-05
1991,45,3503407,1.284463951804629e-05
1992,36,3442904,1.045628922560722e-05
1993,33,3364630,9.80791350014712e-06
1994,27,3307859,8.1623793517196478e-06
1995,20,3249949,6.1539427234088905e-06
1996,39,3225793,1.2090050415510233e-05
1997,41,3194233,1.2835632215934154e-05
1998,53,3230662,1.6405306404693528e-05
1999,43,3234596,1.3293777646420139e-05
2000,29,3298520,8.79182178674072e-06
2001,9,3252723,2.7669125222160019e-06
2002,28,3239855,8.6423620810190587e-06
2003,51,3290969,1.5496955455976644e-05
2004,42,3296174,1.2742045777923132e-05
2005,36,3307852,1.0883195499677737e-05
2006,45,3390724,1.3271501897529849e-05
2007,46,3416158,1.3465419339503618e-05
2008,40,3344482,1.1959998588720167e-05
2009,50,3236955,1.544661572372801e-05
2010,47,3122128,1.5053835076588787e-05
2011,58,3086059,1.8794196740891861e-05
2012,71,3083008,2.3029456945943702e-05
2013,95,3079348,3.08506865739111e-05
2014,82,3141425,2.6102803663942319e-05
2015,112,3134011,3.5736951784789523e-05
2016,90,3098778,2.9043706906399878e-05
2017,99,3008598,3.2905692285908589e-05
2018,73,2949060,2.4753650315693814e-05
2019,70,2891772,2.420661103295834e-05
